item,item_label,twitter
http://www.wikidata.org/entity/Q27755,Toni Doblas,
http://www.wikidata.org/entity/Q27756,Raúl Goni,
http://www.wikidata.org/entity/Q27767,José María Movilla,
http://www.wikidata.org/entity/Q27768,Felipe Saad,
http://www.wikidata.org/entity/Q27770,Sylvain Marchal,
http://www.wikidata.org/entity/Q27772,Eduardo Ribeiro dos Santos,
http://www.wikidata.org/entity/Q27777,Álvaro Rubio,
http://www.wikidata.org/entity/Q27787,Johan Cavalli,
http://www.wikidata.org/entity/Q27789,Yannick Cahuzac,
http://www.wikidata.org/entity/Q27791,François Marque,
http://www.wikidata.org/entity/Q27794,Wahbi Khazri,
http://www.wikidata.org/entity/Q27795,Macedo Novaes,
http://www.wikidata.org/entity/Q27800,Fousséni Diawara,foussenidiawara
http://www.wikidata.org/entity/Q27805,Arnaud Maire,
http://www.wikidata.org/entity/Q27808,Jérémy Choplin,
http://www.wikidata.org/entity/Q27812,Matthieu Sans,
http://www.wikidata.org/entity/Q27819,Julian Palmieri,
http://www.wikidata.org/entity/Q27822,Paul Lasne,
http://www.wikidata.org/entity/Q27824,Olivier Vannucci,
http://www.wikidata.org/entity/Q27833,José María Martín Bejarano-Serrano,
http://www.wikidata.org/entity/Q27836,Frédéric Sammaritano,
http://www.wikidata.org/entity/Q27839,Alex Dupont,
http://www.wikidata.org/entity/Q27843,Christophe Vincent,
http://www.wikidata.org/entity/Q27845,Salim Moizini,
http://www.wikidata.org/entity/Q27847,Vsevolod Konkin,
http://www.wikidata.org/entity/Q27849,Vitali Kolomiytsev,
http://www.wikidata.org/entity/Q27852,Ilan Araújo Dall'Igna,
http://www.wikidata.org/entity/Q27854,David Oberhauser,
http://www.wikidata.org/entity/Q27856,Anthony Lippini,
http://www.wikidata.org/entity/Q27857,Pavel Korchagin,
http://www.wikidata.org/entity/Q27865,Gaëtan Varenne,
http://www.wikidata.org/entity/Q27873,Joseph Barbato,
http://www.wikidata.org/entity/Q27876,Víctor Pérez Alonso,
http://www.wikidata.org/entity/Q27886,Landry Bonnefoi,BonnefoiLandry
http://www.wikidata.org/entity/Q27889,Mikel Balenziaga,
http://www.wikidata.org/entity/Q28239,Gonzalo Castro,
http://www.wikidata.org/entity/Q28704,Kim Ho-kon,
http://www.wikidata.org/entity/Q28705,James Kwesi Appiah,
http://www.wikidata.org/entity/Q28740,Ian Porterfield,
http://www.wikidata.org/entity/Q28801,Yu Hai,
http://www.wikidata.org/entity/Q28966,Tomislav Kiš,
http://www.wikidata.org/entity/Q29062,Iulian Filipescu,
http://www.wikidata.org/entity/Q29097,Renato Dirnei Florêncio,
http://www.wikidata.org/entity/Q29162,Tomáš Rosický,
http://www.wikidata.org/entity/Q29339,Maniche,
http://www.wikidata.org/entity/Q29454,Sylvain Marveaux,
http://www.wikidata.org/entity/Q29456,Michael Johnson,
http://www.wikidata.org/entity/Q29467,Christian Vargas,
http://www.wikidata.org/entity/Q29491,Chris Smalling,chrissmalling
http://www.wikidata.org/entity/Q29491,Chris Smalling,ChrisSmalling
http://www.wikidata.org/entity/Q29495,Jonny Evans,
http://www.wikidata.org/entity/Q29497,Carl Jenkinson,
http://www.wikidata.org/entity/Q29516,Theo Walcott,theowalcott
http://www.wikidata.org/entity/Q29566,Michael Carrick,carras16
http://www.wikidata.org/entity/Q29582,Milan Jovanić,
http://www.wikidata.org/entity/Q29586,Ricardo Alberto Frione,
http://www.wikidata.org/entity/Q29611,Wesley John,
http://www.wikidata.org/entity/Q29649,Cicinho,
http://www.wikidata.org/entity/Q29667,Brandon McDonald,
http://www.wikidata.org/entity/Q29693,Hassan Mila Sesay,
http://www.wikidata.org/entity/Q29708,Graham Zusi,gzusi
http://www.wikidata.org/entity/Q29738,Rod Thomas,
http://www.wikidata.org/entity/Q29763,Carlos Romero,
http://www.wikidata.org/entity/Q29776,Edgardo González,
http://www.wikidata.org/entity/Q29849,Nikita Kayusov,
http://www.wikidata.org/entity/Q29850,Yevgeni Kartusha,
http://www.wikidata.org/entity/Q29851,Aleksey Gorshkov,
http://www.wikidata.org/entity/Q30518,Fred Keenor,
http://www.wikidata.org/entity/Q31099,Fulgencio Berdugo,
http://www.wikidata.org/entity/Q31287,Ivo Ulich,
http://www.wikidata.org/entity/Q31370,Pavel Černý,
http://www.wikidata.org/entity/Q31376,Ivan Hašek,
http://www.wikidata.org/entity/Q31377,Pavel Horváth,
http://www.wikidata.org/entity/Q31432,Mikhail Kostyukov,
http://www.wikidata.org/entity/Q31435,Alexander Kotov,
http://www.wikidata.org/entity/Q31441,Artyom Kozlov,
http://www.wikidata.org/entity/Q31442,Emiliano Sala,emilianosala1
http://www.wikidata.org/entity/Q31442,Emiliano Sala,EmilianoSala1
http://www.wikidata.org/entity/Q31443,Hadi Sacko,
http://www.wikidata.org/entity/Q31446,Artyom Kozikhin,
http://www.wikidata.org/entity/Q31449,Roman Kosyanchuk,
http://www.wikidata.org/entity/Q31504,Simone Bacciocchi,
http://www.wikidata.org/entity/Q31564,Hakan Balta,Hbalta_22
http://www.wikidata.org/entity/Q31575,Marcelo Bielsa,
http://www.wikidata.org/entity/Q31664,Reto Ziegler,
http://www.wikidata.org/entity/Q31682,Florian Marange,
http://www.wikidata.org/entity/Q31684,Nicolas Maurice-Belay,
http://www.wikidata.org/entity/Q31735,Vladimir Kozhevnikov,
http://www.wikidata.org/entity/Q31742,Yegor Kostryukhin,
http://www.wikidata.org/entity/Q31744,Cheick Diabaté,
http://www.wikidata.org/entity/Q31757,Abdou Traoré,
http://www.wikidata.org/entity/Q31760,Jussiê Ferreira Vieira,
http://www.wikidata.org/entity/Q31763,Kévin Olimpa,
http://www.wikidata.org/entity/Q31766,Mariano Ferreira Filho,
http://www.wikidata.org/entity/Q31775,Yoan Gouffran,
http://www.wikidata.org/entity/Q31777,Matthieu Chalmé,
http://www.wikidata.org/entity/Q31783,Grégory Sertic,
http://www.wikidata.org/entity/Q31792,Landry Nguémo,landry_nguemo
http://www.wikidata.org/entity/Q31803,Lamine Sané,
http://www.wikidata.org/entity/Q354,Piet Kraak,
http://www.wikidata.org/entity/Q379,František Plánička,
http://www.wikidata.org/entity/Q615,Lionel Messi,fundacionmessi
http://www.wikidata.org/entity/Q624,Alessandro Del Piero,delpieroale
http://www.wikidata.org/entity/Q1634,Adriaan Paulen,
http://www.wikidata.org/entity/Q1835,Zinedine Zidane,
http://www.wikidata.org/entity/Q1839,Laurent Blanc,
http://www.wikidata.org/entity/Q1879,Corentin Martins,
http://www.wikidata.org/entity/Q1883,Sabri Lamouchi,
http://www.wikidata.org/entity/Q1885,Jürgen Locadia,locadiaofficial
http://www.wikidata.org/entity/Q1894,Memphis Depay,Memphis
http://www.wikidata.org/entity/Q1894,Memphis Depay,memphis
http://www.wikidata.org/entity/Q1907,Hugo Lloris,
http://www.wikidata.org/entity/Q1908,Mathieu Debuchy,MatDebuchy
http://www.wikidata.org/entity/Q1909,Adil Rami,
http://www.wikidata.org/entity/Q1910,Yohan Cabaye,YCabayeofficiel
http://www.wikidata.org/entity/Q1911,Olivier Giroud,_OlivierGiroud_
http://www.wikidata.org/entity/Q1912,Karim Benzema,Benzema
http://www.wikidata.org/entity/Q1913,Florent Malouda,
http://www.wikidata.org/entity/Q1915,Laurent Koscielny,6_LKOSCIELNY
http://www.wikidata.org/entity/Q1916,Patrice Evra,Evra
http://www.wikidata.org/entity/Q1917,Philippe Mexès,
http://www.wikidata.org/entity/Q1918,Franck Ribéry,FranckRibery
http://www.wikidata.org/entity/Q1919,Mathieu Valbuena,MathieuVal8
http://www.wikidata.org/entity/Q1920,Samir Nasri,SamNasri19
http://www.wikidata.org/entity/Q1921,Blaise Matuidi,MATUIDIBlaise
http://www.wikidata.org/entity/Q1922,Anthony Réveillère,
http://www.wikidata.org/entity/Q1923,Jérémy Ménez,jeremy_menez187
http://www.wikidata.org/entity/Q1924,Steve Mandanda,SteveMandanda
http://www.wikidata.org/entity/Q1925,Yann M'Vila,yannmvilafr
http://www.wikidata.org/entity/Q1926,Alou Diarra,
http://www.wikidata.org/entity/Q1927,Marvin Martin,
http://www.wikidata.org/entity/Q1928,Hatem Ben Arfa,
http://www.wikidata.org/entity/Q1929,Gaël Clichy,
http://www.wikidata.org/entity/Q1931,Cédric Carrasso,
http://www.wikidata.org/entity/Q1934,Sidney Govou,GovouSidney
http://www.wikidata.org/entity/Q1935,Eric Abidal,
http://www.wikidata.org/entity/Q1936,Djibril Cissé,djibrilcisse
http://www.wikidata.org/entity/Q1937,William Gallas,
http://www.wikidata.org/entity/Q1938,Bacary Sagna,Sagnaofficial
http://www.wikidata.org/entity/Q1939,Nicolas Anelka,anelkaofficiel
http://www.wikidata.org/entity/Q1940,André-Pierre Gignac,10APG
http://www.wikidata.org/entity/Q1942,Sébastien Squillaci,
http://www.wikidata.org/entity/Q1943,Abou Diaby,AbouVDIABY
http://www.wikidata.org/entity/Q1944,Jérémy Toulalan,
http://www.wikidata.org/entity/Q2339,Robin van Persie,Persie_Official
http://www.wikidata.org/entity/Q3250,Tom Biss,
http://www.wikidata.org/entity/Q3606,Emil Rilke,
http://www.wikidata.org/entity/Q3677,Dennis Lawrence,
http://www.wikidata.org/entity/Q3722,C.K. Vineeth,
http://www.wikidata.org/entity/Q4124,Franciszek Smuda,
http://www.wikidata.org/entity/Q4142,T-killah,t_killah
http://www.wikidata.org/entity/Q4142,T-killah,T_KILLAH
