item,item_label,twitter
http://www.wikidata.org/entity/Q10711,Manuel Almunia,
http://www.wikidata.org/entity/Q10715,Lee Hodson,
http://www.wikidata.org/entity/Q10718,John Eustace,
http://www.wikidata.org/entity/Q10720,Neuton,
http://www.wikidata.org/entity/Q10723,Mark Yeates,
http://www.wikidata.org/entity/Q10724,Jonathan Hogg,
http://www.wikidata.org/entity/Q10725,Troy Deeney,t_deeney
http://www.wikidata.org/entity/Q10725,Troy Deeney,T_Deeney
http://www.wikidata.org/entity/Q10726,Chris Iwelumo,
http://www.wikidata.org/entity/Q10727,Steve Leo Beleck,
http://www.wikidata.org/entity/Q10729,Stephen McGinn,
http://www.wikidata.org/entity/Q10730,Sean Murray,
http://www.wikidata.org/entity/Q10732,Daniel Pudil,
http://www.wikidata.org/entity/Q10733,Prince Buaben,
http://www.wikidata.org/entity/Q10735,Matěj Vydra,vydra_92
http://www.wikidata.org/entity/Q10736,Ikechi Anya,
http://www.wikidata.org/entity/Q10754,Almen Abdi,
http://www.wikidata.org/entity/Q10758,Marco Cassetti,
http://www.wikidata.org/entity/Q10761,Connor Smith,
http://www.wikidata.org/entity/Q10764,Jonathan Bond,
http://www.wikidata.org/entity/Q10767,Tommie Hoban,
http://www.wikidata.org/entity/Q10772,Alex Geijo,
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,
http://www.wikidata.org/entity/Q10785,Cristian Battocchio,
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,chalobah
http://www.wikidata.org/entity/Q10792,Joel Ekstrand,
http://www.wikidata.org/entity/Q10796,Jean-Alain Fanchone,
http://www.wikidata.org/entity/Q10857,Rachel Brown,
http://www.wikidata.org/entity/Q10860,Siobhan Chamberlain,Sio_Chamberlain
http://www.wikidata.org/entity/Q10861,Hope Powell,
http://www.wikidata.org/entity/Q10864,Karen Bardsley,klbardsley
http://www.wikidata.org/entity/Q10868,Casey Stoney,CaseyStoney
http://www.wikidata.org/entity/Q10869,Rachel Unitt,
http://www.wikidata.org/entity/Q10871,Steph Houghton,stephhoughton2
http://www.wikidata.org/entity/Q10875,Laura Bassett,laurabassett6
http://www.wikidata.org/entity/Q10878,Dunia Susi,
http://www.wikidata.org/entity/Q10879,Sophie Bradley-Auckland,
http://www.wikidata.org/entity/Q10881,Claire Rafferty,clrafferty1
http://www.wikidata.org/entity/Q10883,Rachel Yankey,
http://www.wikidata.org/entity/Q10885,Fara Williams,fara_williams47
http://www.wikidata.org/entity/Q10889,Karen Carney,karenjcarney
http://www.wikidata.org/entity/Q10896,Jill Scott,JillScottJS8
http://www.wikidata.org/entity/Q10902,Anita Asante,
http://www.wikidata.org/entity/Q10905,Eniola Aluko,enialu
http://www.wikidata.org/entity/Q10905,Eniola Aluko,EniAlu
http://www.wikidata.org/entity/Q10911,Ellen White,ellsbells89
http://www.wikidata.org/entity/Q10914,Rachel Williams,
http://www.wikidata.org/entity/Q10916,Toni Duggan,toniduggan
http://www.wikidata.org/entity/Q10916,Toni Duggan,ToniDuggan
http://www.wikidata.org/entity/Q10917,Faye White,faye_white
http://www.wikidata.org/entity/Q10918,Katie Chapman,chapmans17
http://www.wikidata.org/entity/Q11571,Cristiano Ronaldo,Cristiano
http://www.wikidata.org/entity/Q11576,Raúl González Blanco,RaulGonzalez
http://www.wikidata.org/entity/Q11584,Iker Casillas,IkerCasillas
http://www.wikidata.org/entity/Q11931,Tim Matavž,
http://www.wikidata.org/entity/Q11944,Orlando Engelaar,
http://www.wikidata.org/entity/Q11946,Menno Koch,
http://www.wikidata.org/entity/Q11948,Michael Ballack,
http://www.wikidata.org/entity/Q11949,Dick Advocaat,
http://www.wikidata.org/entity/Q11950,Boy Waterman,
http://www.wikidata.org/entity/Q11954,Dries Mertens,dries_mertens14
http://www.wikidata.org/entity/Q11956,Ola Toivonen,OlaToivonen20
http://www.wikidata.org/entity/Q11958,Phillip Cocu,
http://www.wikidata.org/entity/Q11966,Bafétimbi Gomis,BafGomis
http://www.wikidata.org/entity/Q12160,Rémi Garde,
http://www.wikidata.org/entity/Q12897,Pelé,Pele
http://www.wikidata.org/entity/Q12984,Stephan El Shaarawy,OfficialEl92
http://www.wikidata.org/entity/Q13002,Paul Gascoigne,
http://www.wikidata.org/entity/Q13054,Steed Malbranque,
http://www.wikidata.org/entity/Q13055,Rémy Vercoutre,
http://www.wikidata.org/entity/Q13057,Mathieu Gorgelin,
http://www.wikidata.org/entity/Q13304,Mouhamadou Dabo,
http://www.wikidata.org/entity/Q13306,Alexandre Lacazette,LacazetteAlex
http://www.wikidata.org/entity/Q13308,Samuel Umtiti,samumtiti
http://www.wikidata.org/entity/Q13309,Sidy Koné,
http://www.wikidata.org/entity/Q13488,Grégory Coupet,
http://www.wikidata.org/entity/Q13494,Jean-Pierre Papin,
http://www.wikidata.org/entity/Q13501,Hani Al-Dhabit,
http://www.wikidata.org/entity/Q13563,Ernst Schybergson,
http://www.wikidata.org/entity/Q14063,Herman Brusselmans,
http://www.wikidata.org/entity/Q14135,Ri Kwang-chon,
http://www.wikidata.org/entity/Q15077,Patricio Escobal,
http://www.wikidata.org/entity/Q15149,Óscar Tabárez,
http://www.wikidata.org/entity/Q15199,Jack Wilshere,jackwilshere
http://www.wikidata.org/entity/Q15199,Jack Wilshere,JackWilshere
http://www.wikidata.org/entity/Q15772,Markus Weinzierl,
http://www.wikidata.org/entity/Q15802,Daniel Passarella,
http://www.wikidata.org/entity/Q16783,Fernando César de Souza,
http://www.wikidata.org/entity/Q16794,Ralf Schmitt,
http://www.wikidata.org/entity/Q17158,Carles Puyol,Carles5puyol
http://www.wikidata.org/entity/Q17163,Johan Cruyff,
http://www.wikidata.org/entity/Q17490,Jean Marie Dongou,
http://www.wikidata.org/entity/Q17491,Jean Armel Kana Biyik,
http://www.wikidata.org/entity/Q17492,Jonathan two Santos,jona2santos
http://www.wikidata.org/entity/Q17493,Thiago Alcântara,Thiago6
http://www.wikidata.org/entity/Q17499,Cesc Fàbregas,cesc4official
http://www.wikidata.org/entity/Q17500,Xavi Hernández,
http://www.wikidata.org/entity/Q17507,Gerard Piqué,3gerardpique
http://www.wikidata.org/entity/Q18765,Burak Yılmaz,yilmazburak17
http://www.wikidata.org/entity/Q18881,Aly Cissokho,
http://www.wikidata.org/entity/Q18962,Adrien Rabiot,
http://www.wikidata.org/entity/Q18976,Ole Gunnar Solskjær,olegs26_ole
http://www.wikidata.org/entity/Q18982,Tom Ince,RealThomasInce
http://www.wikidata.org/entity/Q19041,Daniel González Güiza,
http://www.wikidata.org/entity/Q19051,Mame Biram Diouf,
http://www.wikidata.org/entity/Q19177,Adam Miller,
http://www.wikidata.org/entity/Q19181,Alan Julian,
http://www.wikidata.org/entity/Q19350,Karl Henry,
http://www.wikidata.org/entity/Q19364,Andrés Guardado,AGuardado18
http://www.wikidata.org/entity/Q19365,Vicente Guaita,
http://www.wikidata.org/entity/Q19367,Juan Bernat,juanbernat
http://www.wikidata.org/entity/Q19367,Juan Bernat,JuanBernat
http://www.wikidata.org/entity/Q19388,Dani Parejo,DaniParejo
http://www.wikidata.org/entity/Q19392,Éver Banega,Ever10Banega
http://www.wikidata.org/entity/Q19422,Sergio Canales Madrazo,SergioCanales
http://www.wikidata.org/entity/Q19497,Oscar,oscar8
http://www.wikidata.org/entity/Q19832,Maurice Cook,
http://www.wikidata.org/entity/Q20110,Francesco Totti,Totti
http://www.wikidata.org/entity/Q20469,Alan Dzagoev,
http://www.wikidata.org/entity/Q22561,Kurt Sommerlatt,
http://www.wikidata.org/entity/Q22717,Fritz Walter,
http://www.wikidata.org/entity/Q23421,Alan Foggon,
http://www.wikidata.org/entity/Q23941,Francisco Frione,
http://www.wikidata.org/entity/Q23950,Jānis Skredelis,
http://www.wikidata.org/entity/Q24012,Gaetano Monachello,gaemona
http://www.wikidata.org/entity/Q24027,Natalia Zinchenko,
http://www.wikidata.org/entity/Q24042,Raúl Banfi,
http://www.wikidata.org/entity/Q24237,Andrew Nabbout,andrewnabbout
http://www.wikidata.org/entity/Q24294,Edward Linskens,
http://www.wikidata.org/entity/Q24310,Luis Rijo,
http://www.wikidata.org/entity/Q24325,Ufuk Budak,
http://www.wikidata.org/entity/Q24347,Óscar Míguez,
http://www.wikidata.org/entity/Q24553,Obi Metzger,
http://www.wikidata.org/entity/Q24947,Gunnar Þór Gunnarsson,
http://www.wikidata.org/entity/Q25081,Pavel Mochalin,
http://www.wikidata.org/entity/Q25463,Mohamed Youssouf,
http://www.wikidata.org/entity/Q25476,Rob Reekers,
http://www.wikidata.org/entity/Q25613,Ruslan Lyubarskyi,
http://www.wikidata.org/entity/Q25643,Mouritala Ogunbiyi,
http://www.wikidata.org/entity/Q25702,Hans Mulder,
http://www.wikidata.org/entity/Q25718,Björn Lindemann,
http://www.wikidata.org/entity/Q25982,Omar Arellano Nuño,
http://www.wikidata.org/entity/Q25992,Lavard Evans,
http://www.wikidata.org/entity/Q26014,Volodymyr Shekhovtsov,
http://www.wikidata.org/entity/Q26051,Alejandro Pozuelo,
http://www.wikidata.org/entity/Q26054,Isabell Herlovsen,
http://www.wikidata.org/entity/Q26069,Klaas-Jan Huntelaar,KJ_Huntelaar
http://www.wikidata.org/entity/Q26181,Heinz-Jürgen Blome,
http://www.wikidata.org/entity/Q26192,Steven Caulker,
http://www.wikidata.org/entity/Q26233,Roman Neustädter,
http://www.wikidata.org/entity/Q26276,Klemen Lavrič,
http://www.wikidata.org/entity/Q26306,Eduard Kainberger,
http://www.wikidata.org/entity/Q26309,Amir Karić,
http://www.wikidata.org/entity/Q26315,Željko Milinovič,
http://www.wikidata.org/entity/Q26343,Gaël Bigirimana,
http://www.wikidata.org/entity/Q26380,Iago Aspas,aspas10
http://www.wikidata.org/entity/Q26460,Boban Babunski,
http://www.wikidata.org/entity/Q26480,Francisco Medina Luna,
http://www.wikidata.org/entity/Q26517,Luis Suárez,LuisSuarez9
http://www.wikidata.org/entity/Q26522,Mbaye Niang,
http://www.wikidata.org/entity/Q26532,Abdullah Avcı,
http://www.wikidata.org/entity/Q26536,Álex Fernández,
http://www.wikidata.org/entity/Q26580,Antonio Conte,
http://www.wikidata.org/entity/Q26981,Kim Ju-song,
http://www.wikidata.org/entity/Q27078,Arnaldo Pereira,
http://www.wikidata.org/entity/Q27476,Florian Thauvin,FlorianThauvin
http://www.wikidata.org/entity/Q27478,Gilles Cioni,
http://www.wikidata.org/entity/Q27481,Gaël Angoula,
http://www.wikidata.org/entity/Q27482,Maka Mary,
http://www.wikidata.org/entity/Q27504,Frédéric Hantz,
http://www.wikidata.org/entity/Q27508,Lucas Daniel Wilchez,
http://www.wikidata.org/entity/Q27516,Féthi Harek,
http://www.wikidata.org/entity/Q27517,Yassin El-Azzouzi,
http://www.wikidata.org/entity/Q27522,Artyom Kondrashkin,
http://www.wikidata.org/entity/Q27523,Mehdi Mostefa,
http://www.wikidata.org/entity/Q27525,Franco Zuculini,
http://www.wikidata.org/entity/Q27526,David Gigliotti,
http://www.wikidata.org/entity/Q27528,Sambou Yatabaré,
http://www.wikidata.org/entity/Q27531,Lluís Sastre,
http://www.wikidata.org/entity/Q27533,Sigamary Diarra,sigamary
http://www.wikidata.org/entity/Q27572,Patrick Ebert,
http://www.wikidata.org/entity/Q27649,Jérôme Rothen,RothenJerome
http://www.wikidata.org/entity/Q27680,Ivan Obradović,
http://www.wikidata.org/entity/Q27687,Manuel Jiménez Jiménez,
http://www.wikidata.org/entity/Q27688,Javier Paredes,
http://www.wikidata.org/entity/Q27691,Alberto Bueno,albertobueno15
http://www.wikidata.org/entity/Q27691,Alberto Bueno,Albertobueno15
http://www.wikidata.org/entity/Q27694,Emre Can,emrecan_
http://www.wikidata.org/entity/Q27696,Toifilou Maoulida,
http://www.wikidata.org/entity/Q27699,Carlos Aranda,
http://www.wikidata.org/entity/Q27704,Maurizio Lanzaro,
http://www.wikidata.org/entity/Q27705,Javier Álamo Cruz,
http://www.wikidata.org/entity/Q27719,Stefan Babović,
http://www.wikidata.org/entity/Q27729,Álvaro González Soberón,
http://www.wikidata.org/entity/Q27733,Julien Sablé,
http://www.wikidata.org/entity/Q27735,Glenn Loovens,
http://www.wikidata.org/entity/Q27739,Oumar Sissoko,
http://www.wikidata.org/entity/Q27741,Abraham Minero,
http://www.wikidata.org/entity/Q31893,Marc Planus,
http://www.wikidata.org/entity/Q31903,David Bellion,
http://www.wikidata.org/entity/Q31907,Benoît Trémoulinas,
http://www.wikidata.org/entity/Q31951,André Biyogo Poko,
http://www.wikidata.org/entity/Q31968,Francis Gillot,Gillou_Gironde
http://www.wikidata.org/entity/Q31972,Fahid Ben Khalfallah,
http://www.wikidata.org/entity/Q31980,José Luis Panizo,
http://www.wikidata.org/entity/Q31981,David Alaba,David_Alaba
http://www.wikidata.org/entity/Q31986,Cléverson Gabriel Córdova,
http://www.wikidata.org/entity/Q31988,Carlos Henrique dos Santos Souza,
http://www.wikidata.org/entity/Q31992,Abdoulaye Keita,
http://www.wikidata.org/entity/Q31997,Ažbe Jug,JugAzbe
http://www.wikidata.org/entity/Q32091,Henri Saivet,Saivet_Henri
http://www.wikidata.org/entity/Q32158,Sebastián Morquio,
http://www.wikidata.org/entity/Q32168,Alyaksandar Lukhvich,
http://www.wikidata.org/entity/Q32191,Pedro Ochoa,
http://www.wikidata.org/entity/Q32231,Serghei Gheorghiev,
http://www.wikidata.org/entity/Q32248,Jan Louwers,
http://www.wikidata.org/entity/Q32315,Juan Martín Parodi,
http://www.wikidata.org/entity/Q32411,Héctor Castro,
http://www.wikidata.org/entity/Q32490,Samuel Wilson,
http://www.wikidata.org/entity/Q32539,Laureano Ruiz,
http://www.wikidata.org/entity/Q32556,Antonio Candreva,
http://www.wikidata.org/entity/Q32630,Mick Bates,
http://www.wikidata.org/entity/Q32733,Victor Mees,
http://www.wikidata.org/entity/Q32763,Santillana,
http://www.wikidata.org/entity/Q32812,Tryggve Gran,
http://www.wikidata.org/entity/Q32962,Larry Yáñez,
http://www.wikidata.org/entity/Q33008,Han Deok-hee,
http://www.wikidata.org/entity/Q33048,Allan Borgvardt,
http://www.wikidata.org/entity/Q33091,Stanislav Prins,
http://www.wikidata.org/entity/Q33107,Romain Élie,
http://www.wikidata.org/entity/Q33157,Osvaldo Sáez,
http://www.wikidata.org/entity/Q34658,Michael Reiziger,
http://www.wikidata.org/entity/Q34670,Albert Camus,
http://www.wikidata.org/entity/Q34764,Mika Aaltonen,
http://www.wikidata.org/entity/Q35940,Ayila Yussuf,
http://www.wikidata.org/entity/Q36305,Alessandro Matri,ale_matri
http://www.wikidata.org/entity/Q36305,Alessandro Matri,Ale_Matri
http://www.wikidata.org/entity/Q36815,Marteria,marsimoto
http://www.wikidata.org/entity/Q36815,Marteria,marteria
http://www.wikidata.org/entity/Q37231,Néstor Camacho,
http://www.wikidata.org/entity/Q37717,Shaun Maloney,
http://www.wikidata.org/entity/Q38136,Marcel,MarceloM12
http://www.wikidata.org/entity/Q38261,Paco Campos,
http://www.wikidata.org/entity/Q38304,Ēriks Pētersons,
http://www.wikidata.org/entity/Q38306,Alberts Šeibelis,
http://www.wikidata.org/entity/Q38317,Marians Pahars,
http://www.wikidata.org/entity/Q38321,Arnaud Anastassowa,
http://www.wikidata.org/entity/Q38658,Epifanio Fernández,
http://www.wikidata.org/entity/Q38660,Roberto Román Triguero,
http://www.wikidata.org/entity/Q38742,Eduardo Herrera Bueno,
http://www.wikidata.org/entity/Q38794,Rildo da Costa Menezes,
http://www.wikidata.org/entity/Q38812,Alejandro Lanari,
http://www.wikidata.org/entity/Q38917,Mauro Goicoechea,
http://www.wikidata.org/entity/Q38946,Anass Achahbar,
http://www.wikidata.org/entity/Q38989,Fernando Gamboa,
http://www.wikidata.org/entity/Q39053,Ernest Payne,
http://www.wikidata.org/entity/Q39101,Mario Gallegos,
http://www.wikidata.org/entity/Q39114,Sidney Sam,
http://www.wikidata.org/entity/Q39209,Koray Günter,
http://www.wikidata.org/entity/Q39230,Marquinhos,marquinhos_m5
http://www.wikidata.org/entity/Q39233,Aleksandr Kokorin,kokorink9
http://www.wikidata.org/entity/Q39236,Adam Morgan,
